destination,state,destination_type,avg_cost_per_day,destination_rating,student_friendly,best_season,latitude,longitude,activity,activity_duration_hrs,activity_cost,budget_tier,daily_budget,recommended
Goa,Goa,Beach,800,4.5,1,Winter,15.2993,74.124,Swimming,2,0,low,500,0
Goa,Goa,Beach,800,4.5,1,Winter,15.2993,74.124,Swimming,2,0,medium,1000,1
Goa,Goa,Beach,800,4.5,1,Winter,15.2993,74.124,Swimming,2,0,high,2000,1
Goa,Goa,Beach,800,4.5,1,Winter,15.2993,74.124,Snorkeling,3,300,low,500,0
Goa,Goa,Beach,800,4.5,1,Winter,15.2993,74.124,Snorkeling,3,300,medium,1000,1
Goa,Goa,Beach,800,4.5,1,Winter,15.2993,74.124,Snorkeling,3,300,high,2000,1
Goa,Goa,Beach,800,4.5,1,Winter,15.2993,74.124,Beach Volleyball,2,0,low,500,0
Goa,Goa,Beach,800,4.5,1,Winter,15.2993,74.124,Beach Volleyball,2,0,medium,1000,1
Goa,Goa,Beach,800,4.5,1,Winter,15.2993,74.124,Beach Volleyball,2,0,high,2000,1
Goa,Goa,Beach,800,4.5,1,Winter,15.2993,74.124,Sunset Walk,1,0,low,500,0
Goa,Goa,Beach,800,4.5,1,Winter,15.2993,74.124,Sunset Walk,1,0,medium,1000,1
Goa,Goa,Beach,800,4.5,1,Winter,15.2993,74.124,Sunset Walk,1,0,high,2000,1
Goa,Goa,Beach,800,4.5,1,Winter,15.2993,74.124,Water Sports,4,500,low,500,0
Goa,Goa,Beach,800,4.5,1,Winter,15.2993,74.124,Water Sports,4,500,medium,1000,1
Goa,Goa,Beach,800,4.5,1,Winter,15.2993,74.124,Water Sports,4,500,high,2000,1
Manali,Himachal Pradesh,Hills,700,4.6,1,Summer,32.2396,77.1887,Trekking,5,0,low,500,0
Manali,Himachal Pradesh,Hills,700,4.6,1,Summer,32.2396,77.1887,Trekking,5,0,medium,1000,1
Manali,Himachal Pradesh,Hills,700,4.6,1,Summer,32.2396,77.1887,Trekking,5,0,high,2000,1
Manali,Himachal Pradesh,Hills,700,4.6,1,Summer,32.2396,77.1887,Paragliding,3,800,low,500,0
Manali,Himachal Pradesh,Hills,700,4.6,1,Summer,32.2396,77.1887,Paragliding,3,800,medium,1000,1
